"County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","Base MSRP","Legislative District","DOL Vehicle ID","Vehicle Location","Electric Utility","2020 Census Tract"
"Snohomish","Everett","WA","98208","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","21","244056802","POINT (-122.18637 47.89251)","PUGET SOUND ENERGY INC","53061041605"
"Benton","Richland","WA","99352","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","8","285886499","POINT (-119.27372 46.27391)","BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA)","53005010817"
"Snohomish","Snohomish","WA","98290","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","44","259042136","POINT (-122.09305 47.91265)","PUGET SOUND ENERGY INC","53061052607"
"King","Sammamish","WA","98075","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","271427285","POINT (-122.03539 47.61344)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032215"
"King","Seattle","WA","98102","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","43","202270071","POINT (-122.32427 47.63433)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033006500"
"Grays Harbor","Hoquiam","WA","98550","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","24","281978182","POINT (-123.88689 46.97982)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY","53027001500"
"Pierce","Fox Island","WA","98333","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","26","241496314","POINT (-122.65107 47.27375)","BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY","53053072410"
"Island","Camano Island","WA","98282","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","10","261401129","POINT (-122.40049 48.23986)","BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY","53029971500"
"King","Renton","WA","98058","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","47","280370786","POINT (-122.08747 47.4466)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033031906"
"Yakima","Yakima","WA","98903","2024","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","14","268312600","POINT (-120.47777 46.55666)","PACIFICORP","53077002803"
"Clark","Vancouver","WA","98665","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","49","261190275","POINT (-122.64443 45.67871)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)","53011040809"
"King","Seattle","WA","98105","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","43","279043390","POINT (-122.31307 47.66127)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033005202"
